Date,Description,Type,Cost,Timestamp,Email Address,,,https://docs.google.com/forms/d/e/1FAIpQLSe1VI2A82N_6THPd41tj_MbV_s7V4pHgDXPcsGrTBWMUSl3zg/viewform
2/4/2024,chips,food,2.05,2/4/2024 20:15:42,,,,
2/5/2024,campus food,food,8.59,2/5/2024 16:13:00,,,,
2/6/2024,chips,food,2.77,2/6/2024 19:15:43,,,,
2/7/2024,chips,food,2.77,2/7/2024 21:13:26,,,,
2/8/2024,juice,food,3.29,2/8/2024 16:46:57,,,,
2/8/2024,sandwitch,food,11,2/8/2024 16:47:18,,,,
2/10/2024,chips,food,2.77,2/11/2024 12:25:45,,,,
2/11/2024,seattle costs,food,42,2/11/2024 12:27:16,,,,
2/6/2024,instacart beef,food,30.03,2/11/2024 12:29:16,,,,
2/6/2024,walmart,food,71.77,2/11/2024 12:39:44,,,,
2/11/2024,xfinity,tech,22.5,2/11/2024 12:42:08,,,,
2/11/2024,google fi,tech,25.96,2/11/2024 13:23:18,,,,
2/11/2024,chips,food,2.77,2/11/2024 14:08:47,,,,
2/12/2024,chips,food,2.77,2/12/2024 22:25:07,,,,
2/13/2024,campus food,food,9.25,2/13/2024 15:00:08,,,,
2/14/2024,gas bill,home,87.68,2/14/2024 1:18:57,,,,
2/15/2024,campus food,food,8.51,2/15/2024 13:59:22,,,,
2/15/2024,shop n go,food,14.79,2/15/2024 16:49:59,,,,
2/15/2024,chips,food,2.77,2/15/2024 21:57:49,,,,
2/12/2024,walmart,food,23.243,2/16/2024 20:57:06,,,,
2/17/2024,coke,food,11.32,2/17/2024 21:30:26,,,,
2/18/2024,chips,food,2.77,2/18/2024 15:37:03,,,,
2/18/2024,walmart,food,10.72,2/18/2024 21:46:41,,,,
2/18/2024,body gel,beauty,6.48,2/18/2024 21:47:16,,,,
2/18/2024,steel cup,home,5.47,2/18/2024 21:47:44,,,,
2/18/2024,hair loss cream,beauty,32.98,2/18/2024 21:48:12,,,,
2/19/2024,chips,food,2.77,2/19/2024 20:58:06,,,,
2/21/2024,chatgpt plus,study,21.55,2/21/2024 13:12:41,,,,
2/21/2024,campus food,food,4.1,2/21/2024 20:08:07,,,,
2/22/2024,campus food,food,8.51,2/22/2024 14:30:31,,,,
2/23/2024,chips,food,1.6,2/23/2024 17:54:14,,,,
2/23/2024,electric bill,home,29.41,2/23/2024 20:44:44,,,,
2/24/2024,rent,home,748.5,2/24/2024 20:32:47,,,,
2/24/2024,walmart,food,31.41,2/24/2024 20:33:54,,,,
2/25/2024,chips,food,2.66,2/25/2024 20:07:01,,,,
2/25/2024,chips,food,2.77,2/25/2024 22:14:53,,,,
2/26/2024,taaha bkash,wife,20,2/26/2024 11:35:29,,,,
2/26/2024,chips,food,2.77,2/26/2024 20:09:44,,,,
2/26/2024,badminton,beauty,7,2/26/2024 21:22:24,,,,
2/27/2024,campus food,food,9.02,2/27/2024 14:16:47,,,,
